
LIVE (published) diagrams: 85 across 21 sections
smallest label x 306.74/viewBoxWidth = CSS px at a 390px viewport, against 16px body copy

    px | vbW | face | texts | kind  | section — title
  6.13 | 500 |   10 |    11 | -     | aggregate-supply — Short-Run Aggregate Supply (SRAS) [2]
  6.13 | 500 |   10 |    11 | -     | economic-growth — Output Gap Diagram
  6.13 | 500 |   10 |    11 | -     | economic-growth — Output Gap Diagram [2]
  6.13 | 500 |   10 |    12 | -     | government-intervention — Tax to Correct Negative Externality
  6.13 | 500 |   10 |    12 | -     | government-intervention — Subsidy to Correct Positive Externality
  6.13 | 500 |   10 |    14 | -     | government-intervention-firms — Price Regulation of a Monopoly (RPI-X Pr
  6.13 | 500 |   10 |    14 | -     | government-intervention-firms — Minimum Wage in a Monopsony Labour Marke
  6.13 | 500 |   10 |    15 | -     | government-intervention-firms — Effects of Privatisation and Deregulatio
  6.13 | 500 |   10 |    21 | -     | growth-development — HDI Components and Measurement
  6.13 | 500 |   10 |    20 | -     | growth-development — Harrod-Domar Growth Model
  6.13 | 500 |   10 |    25 | -     | growth-development — Development Strategies Comparison
  6.13 | 500 |   10 |     8 | -     | introductory-concepts — Circular Flow of Income
  6.13 | 500 |   10 |    38 | -     | introductory-concepts — Economic Systems Comparison
  6.13 | 500 |   10 |    15 | -     | labour-markets — Wage Differentials and Labour Immobility
  6.13 | 500 |   10 |    15 | -     | market-failure — Public Goods & the Free-Rider Problem
  6.13 | 500 |   10 |    10 | -     | market-structures-contestability — Perfect Competition — Long-Run Equilibri
  6.13 | 500 |   10 |    13 | -     | market-structures-contestability — Oligopoly — The Kinked Demand Curve
  6.13 | 500 |   10 |    20 | -     | measures-economic-performance — CPI Basket of Goods
  6.13 | 500 |   10 |    24 | -     | types-sizes-businesses — Types of Business Growth (Integration)
  6.13 | 500 |   10 |    19 | -     | types-sizes-businesses — Principal-Agent Problem (Divorce of Owne
  6.75 | 500 |   11 |     5 | -     | consumer-behaviour-demand — Demand Curve: Movements and Shifts [2]
  6.75 | 500 |   11 |     5 | -     | introductory-concepts — Production Possibility Frontier (PPF) [2
  6.75 | 500 |   11 |     7 | -     | introductory-concepts — Production Possibility Frontier (PPF) [3
  6.75 | 500 |   11 |    11 | -     | labour-markets — Competitive Labour Market Equilibrium
  6.75 | 500 |   11 |    12 | -     | labour-markets — Competitive Labour Market Equilibrium [2
  6.75 | 500 |   11 |     8 | -     | market-structures-contestability — Perfect Competition — Short-Run Supernor
  6.75 | 500 |   11 |    13 | -     | price-determination — Consumer & Producer Surplus
  6.75 | 500 |   11 |     5 | -     | supply — Supply Curve: Movements and Shifts [2]
  6.75 | 500 |   11 |     5 | -     | supply — Supply Curve: Movements and Shifts [3]
  7.36 | 500 |   12 |    10 | -     | consumer-behaviour-demand — Demand Curve: Movements and Shifts
  7.36 | 500 |   12 |     9 | -     | price-determination — Supply & Demand Equilibrium [2]
  7.36 | 500 |   12 |    10 | -     | supply — Supply Curve: Movements and Shifts
  7.98 | 500 |   13 |     7 | -     | price-determination — Supply & Demand Equilibrium

under 12px: 85 of 85   under 11px: 85 of 85   under half the body copy (8px): 85 of 85
authoring frames in this corpus: 500u x85

A 16px label needs a frame no wider than 230 units at a 12-unit face — no frame in use is close, which is why the sheet is the remedy on a phone.
